Split,Model,TopK,HR,NDCG
VAL,popularity,5,0.11790393013100436,0.08179472046295148
VAL,popularity,10,0.1965065502183406,0.10720637303222981
VAL,popularity,20,0.28820960698689957,0.1306633437159353
VAL,itemknn(k=10),5,0.7161572052401747,0.7091388177323772
VAL,itemknn(k=10),10,0.7336244541484717,0.7144600180108823
VAL,itemknn(k=10),20,0.759825327510917,0.721220741482657
TEST,popularity,5,0.10638297872340426,0.07670294822525425
TEST,popularity,10,0.1453900709219858,0.089487358278199
TEST,popularity,20,0.26595744680851063,0.11943262662402875
TEST,itemknn(k=10),5,0.7198581560283688,0.7178392785747284
TEST,itemknn(k=10),10,0.7411347517730497,0.7250178355049007
TEST,itemknn(k=10),20,0.7801418439716312,0.7347455837835447
